,0
136,https://www.iol.co.za/capetimes/news/search-for-11-fisherman-ended-too-early-says-food-and-allied-workers-union-e2965621-ca78-4d65-a8f5-2e583910b8c0
137,https://www.iol.co.za/news/crime-and-courts/correctional-services-officials-arrested-for-trying-to-allegedly-smuggle-dagga-and-cellphone-into-prison-038868d1-7f6c-4963-b78d-92f552ad83ab
138,https://www.iol.co.za/the-star/news/sa-will-never-get-the-best-healthcare-ramaphosa-is-promising-by-implementing-nhi-maimane-a7f3f658-1dca-498f-85cf-4ee941250380
139,https://www.iol.co.za/news/crime-and-courts/four-people-shot-dead-in-westham-phoenix-police-hunt-for-suspects-07b5cc7e-c48a-4fe5-8a5a-bfdd3e1f7a98
140,https://www.iol.co.za/the-star/news/numsa-mired-in-scandal-as-woman-abused-during-strike-744e5fff-e346-4c47-9503-7fae4363c4ac
141,https://www.iol.co.za/news/crime-and-courts/look-daring-robbers-cause-havoc-in-thembisa-escape-empty-handed-leaving-their-injured-accomplice-7062817d-8585-4f3a-a4c0-327220f159b3
142,https://www.iol.co.za/thepost/news/new-series-follows-affluent-indian-mothers-like-twin-sisters-losh-naidoo-and-resh-naidoo-of-durban-663a07ab-3bb8-4f49-8e4a-1db2087d031e
143,https://www.iol.co.za/capeargus/news/eff-threatens-to-close-pinelands-high-school-after-slave-sale-video-9fcacde2-a834-4347-bf8a-f80f55359ec6
144,https://www.iol.co.za/capetimes/news/ex-sans-souci-pupil-dealt-a-blow-in-court-9fb5ec97-97da-420d-a50b-316f5520cbc9
145,https://www.iol.co.za/the-star/news/flagship-music-development-initiative-celebrates-25-year-partnership-with-young-talent-8e14bc3e-3ceb-4d7d-966d-6681c6af34ed
146,https://www.iol.co.za/news/crime-and-courts/man-hacks-his-girlfriend-with-an-axe-after-she-finds-him-cheating-a29e744f-8bb7-4318-bf1b-77a4348d921d
147,https://www.iol.co.za/pretoria-news/news/thousands-risk-losing-properties-eda925dd-1914-4445-a702-d4b8d2043207
148,https://www.iol.co.za/dailynews/news/public-outrage-over-torching-of-three-dogs-and-spca-vehicle-d5974d5e-f605-45e1-be77-1423f051a942
149,https://www.iol.co.za/capeargus/news/convicted-killer-luyanda-botha-denies-raping-nursing-student-d248ca49-57f1-4c29-a3e8-fcd049783a73
150,https://www.iol.co.za/mercury/news/no-bail-for-aka-tibz-murder-accused-8a4426af-a357-4e2d-9377-7fe59b234686
151,https://www.iol.co.za/the-star/news/actionsa-gains-traction-in-north-west-ahead-of-elections-1a308668-636d-43fc-b0fc-4fcaf931302d
152,https://www.iol.co.za/news/politics/natjoints-says-no-headache-over-foreign-governments-entities-meddling-in-elections-2024-44d36b28-edae-4a7c-9eaa-e7396eb42884
153,https://www.iol.co.za/news/crime-and-courts/manhunt-for-20-suspects-who-ambushed-saps-vehicles-killing-a-cop-and-stealing-their-firearms-0f0ee9b8-0fad-4d83-b615-407f3800dbcf
154,https://www.iol.co.za/news/crime-and-courts/pics-bid-to-smuggle-significant-quantity-of-skin-lightening-creams-to-south-africa-gets-man-arrested-a4227cae-9ef1-4294-8c51-faa6e27e243a
155,https://www.iol.co.za/news/crime-and-courts/marital-rape-and-child-marriages-considered-legal-in-some-african-countries-family-law-study-4ca915d7-c0e1-4f3b-9220-1a576074f8c1
156,https://www.iol.co.za/news/crime-and-courts/three-suspects-busted-while-robbing-a-family-in-bloemfontein-2432477c-ad0f-4452-b0fe-0dee711d0275
157,https://www.iol.co.za/capetimes/news/r553m-bill-for-extended-sandf-deployment-at-eskom-df2639ff-3912-4f89-b19a-38999ae8ba68
158,https://www.iol.co.za/dailynews/news/son-launches-surfboard-to-help-dad-swept-out-to-sea-after-boat-capsizes-3dd2f35f-50f4-4636-899f-b91c293ac03c
159,https://www.iol.co.za/saturday-star/news/joy-of-jazz-toasts-to-25-year-milestone-by-announcing-one-of-the-finest-line-ups-e870e1f7-742a-4205-beed-ec4020fca5a5
160,https://www.iol.co.za/sunday-tribune/news/police-damages-payout-a-pittance-reminiscent-of-apartheid-regimes-60245f8c-96cc-4efa-943a-e5c8df43b834
161,https://www.iol.co.za/pretoria-news/news/city-residents-urged-to-prioritise-recycling-79aaf506-670a-48f9-993b-9a1e94089ebe
162,https://www.iol.co.za/capetimes/news/wrongful-arrests-detentions-cost-sa-taxpayer-more-than-r2bn-7a97c681-fca8-486c-9357-76b90ecfddbe
